"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 16일","1,927.17","1,921.49","1,927.70","1,911.72","421.68M","-0.58%"
"2019년 08월 14일","1,938.37","1,946.18","1,952.22","1,937.23","699.59M","0.65%"
"2019년 08월 13일","1,925.83","1,928.76","1,937.68","1,923.58","660.04M","-0.85%"
"2019년 08월 12일","1,942.29","1,941.53","1,949.19","1,933.25","427.14M","0.23%"
"2019년 08월 09일","1,937.75","1,940.06","1,946.94","1,936.14","654.34M","0.89%"
"2019년 08월 08일","1,920.61","1,926.28","1,937.95","1,915.81","777.16M","0.57%"
"2019년 08월 07일","1,909.71","1,925.33","1,929.29","1,901.61","760.78M","-0.41%"
"2019년 08월 06일","1,917.50","1,900.36","1,948.53","1,891.81","739.59M","-1.51%"
"2019년 08월 05일","1,946.98","1,985.93","1,987.64","1,945.39","639.60M","-2.56%"
"2019년 08월 02일","1,998.13","1,995.31","2,005.31","1,987.12","438.54M","-0.95%"
"2019년 08월 01일","2,017.34","2,015.09","2,032.23","2,009.33","461.74M","-0.36%"
"2019년 07월 31일","2,024.55","2,036.46","2,041.16","2,010.95","589.39M","-0.69%"
"2019년 07월 30일","2,038.68","2,035.32","2,044.59","2,032.61","547.03M","0.45%"
"2019년 07월 29일","2,029.48","2,059.13","2,063.13","2,025.01","608.67M","-1.78%"
"2019년 07월 26일","2,066.26","2,063.35","2,068.16","2,054.64","589.07M","-0.40%"
"2019년 07월 25일","2,074.48","2,085.67","2,088.81","2,061.08","598.63M","-0.38%"
"2019년 07월 24일","2,082.30","2,097.16","2,105.68","2,080.66","851.39M","-0.91%"
"2019년 07월 23일","2,101.45","2,095.76","2,106.39","2,095.38","648.12M","0.39%"
"2019년 07월 22일","2,093.34","2,090.35","2,099.34","2,087.51","332.63M","-0.05%"
"2019년 07월 19일","2,094.36","2,080.21","2,096.73","2,076.51","394.90M","1.35%"
"2019년 07월 18일","2,066.55","2,068.66","2,073.20","2,061.33","446.64M","-0.31%"
"2019년 07월 17일","2,072.92","2,079.91","2,080.01","2,063.49","761.63M","-0.91%"
"2019년 07월 16일","2,091.87","2,084.46","2,096.67","2,078.74","682.80M","0.45%"
"2019년 07월 15일","2,082.48","2,083.39","2,088.34","2,073.10","463.52M","-0.20%"
"2019년 07월 12일","2,086.66","2,083.53","2,090.43","2,077.35","403.94M","0.29%"
